product,smiles,steps,temp_node,temp_edge,n_raw,n_valid,n_invalid,n_unique,valid_ratio,unique_ratio,mean_tanimoto,n_fp_compared,wall_clock_s,n_known_found,known_found
aspirin,CC(=O)Oc1ccccc1C(=O)O,1,1.0,1.0,20,20,0,4,1.0,0.2,0.8295855379188711,4,0.91,1,['O=C(O)c1ccccc1O']
aspirin,CC(=O)Oc1ccccc1C(=O)O,1,1.2,1.2,20,20,0,4,1.0,0.2,0.8295855379188711,4,0.9,1,['O=C(O)c1ccccc1O']
aspirin,CC(=O)Oc1ccccc1C(=O)O,1,1.5,1.5,20,20,0,2,1.0,0.1,0.9583333333333334,2,0.79,1,['O=C(O)c1ccccc1O']
aspirin,CC(=O)Oc1ccccc1C(=O)O,5,1.0,1.0,20,19,1,3,0.95,0.15,0.7837301587301587,3,3.81,1,['O=C(O)c1ccccc1O']
aspirin,CC(=O)Oc1ccccc1C(=O)O,5,1.2,1.2,20,18,2,5,0.9,0.25,0.8042989417989418,5,5.53,1,['O=C(O)c1ccccc1O']
aspirin,CC(=O)Oc1ccccc1C(=O)O,5,1.5,1.5,20,19,1,3,0.95,0.15,0.7802028218694885,3,4.69,1,['O=C(O)c1ccccc1O']
aspirin,CC(=O)Oc1ccccc1C(=O)O,10,1.0,1.0,20,20,0,1,1.0,0.05,,0,8.76,1,['O=C(O)c1ccccc1O']
aspirin,CC(=O)Oc1ccccc1C(=O)O,10,1.2,1.2,20,20,0,2,1.0,0.1,0.9583333333333334,2,7.86,1,['O=C(O)c1ccccc1O']
aspirin,CC(=O)Oc1ccccc1C(=O)O,10,1.5,1.5,20,19,1,3,0.95,0.15,0.7802028218694885,3,8.1,1,['O=C(O)c1ccccc1O']
aspirin,CC(=O)Oc1ccccc1C(=O)O,25,1.0,1.0,20,19,1,1,0.95,0.05,,0,19.59,1,['O=C(O)c1ccccc1O']
aspirin,CC(=O)Oc1ccccc1C(=O)O,25,1.2,1.2,20,20,0,2,1.0,0.1,0.9583333333333334,2,19.47,1,['O=C(O)c1ccccc1O']
aspirin,CC(=O)Oc1ccccc1C(=O)O,25,1.5,1.5,20,20,0,3,1.0,0.15,0.7837301587301587,3,23.47,1,['O=C(O)c1ccccc1O']
aspirin,CC(=O)Oc1ccccc1C(=O)O,50,1.0,1.0,20,20,0,2,1.0,0.1,0.9583333333333334,2,35.37,1,['O=C(O)c1ccccc1O']
aspirin,CC(=O)Oc1ccccc1C(=O)O,50,1.2,1.2,20,20,0,1,1.0,0.05,,0,33.39,1,['O=C(O)c1ccccc1O']
aspirin,CC(=O)Oc1ccccc1C(=O)O,50,1.5,1.5,20,20,0,1,1.0,0.05,,0,31.57,1,['O=C(O)c1ccccc1O']
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,1,1.0,1.0,20,20,0,4,1.0,0.2,0.8154623154623155,4,0.82,0,[]
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,1,1.2,1.2,20,20,0,4,1.0,0.2,0.9807692307692308,4,0.75,0,[]
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,1,1.5,1.5,20,20,0,3,1.0,0.15,0.9743589743589745,3,0.76,0,[]
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,5,1.0,1.0,20,17,3,2,0.85,0.1,0.7272727272727273,2,3.52,0,[]
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,5,1.2,1.2,20,19,1,6,0.95,0.3,0.6665802475980496,6,3.73,0,[]
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,5,1.5,1.5,20,18,2,6,0.9,0.3,0.7394720827403383,6,3.66,0,[]
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,10,1.0,1.0,20,20,0,4,1.0,0.2,0.7362866567734723,4,7.1,0,[]
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,10,1.2,1.2,20,20,0,3,1.0,0.15,0.6732954545454545,3,7.83,0,[]
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,10,1.5,1.5,20,20,0,3,1.0,0.15,0.660427807486631,3,7.27,0,[]
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,25,1.0,1.0,20,18,2,3,0.9,0.15,0.7201426024955436,3,19.41,0,[]
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,25,1.2,1.2,20,20,0,1,1.0,0.05,,0,18.55,0,[]
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,25,1.5,1.5,20,20,0,2,1.0,0.1,0.6363636363636364,2,19.35,0,[]
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,50,1.0,1.0,20,19,1,3,0.95,0.15,0.7513840326340326,3,38.8,0,[]
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,50,1.2,1.2,20,20,0,2,1.0,0.1,0.7272727272727273,2,38.74,0,[]
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,50,1.5,1.5,20,20,0,2,1.0,0.1,0.7272727272727273,2,40.24,0,[]
paracetamol,CC(=O)Nc1ccc(O)cc1,1,1.0,1.0,20,15,5,12,0.75,0.6,0.6548976552623798,12,0.61,0,[]
paracetamol,CC(=O)Nc1ccc(O)cc1,1,1.2,1.2,20,19,1,16,0.95,0.8,0.7383625144353213,16,0.55,0,[]
paracetamol,CC(=O)Nc1ccc(O)cc1,1,1.5,1.5,20,20,0,12,1.0,0.6,0.8417265639120619,12,0.57,0,[]
paracetamol,CC(=O)Nc1ccc(O)cc1,5,1.0,1.0,20,14,6,13,0.7,0.65,0.4169886052997245,13,2.79,0,[]
paracetamol,CC(=O)Nc1ccc(O)cc1,5,1.2,1.2,20,9,11,6,0.45,0.3,0.39885755854542443,6,2.72,0,[]
paracetamol,CC(=O)Nc1ccc(O)cc1,5,1.5,1.5,20,14,6,13,0.7,0.65,0.4755923143453031,13,2.73,0,[]
paracetamol,CC(=O)Nc1ccc(O)cc1,10,1.0,1.0,20,17,3,14,0.85,0.7,0.4677076768783404,14,5.69,0,[]
paracetamol,CC(=O)Nc1ccc(O)cc1,10,1.2,1.2,20,11,9,10,0.55,0.5,0.4310905957036692,10,5.79,0,[]
paracetamol,CC(=O)Nc1ccc(O)cc1,10,1.5,1.5,20,13,7,11,0.65,0.55,0.4281795677542822,11,6.04,0,[]
paracetamol,CC(=O)Nc1ccc(O)cc1,25,1.0,1.0,20,17,3,7,0.85,0.35,0.6195016527696007,7,13.47,0,[]
paracetamol,CC(=O)Nc1ccc(O)cc1,25,1.2,1.2,20,17,3,10,0.85,0.5,0.5009687834514326,10,13.07,0,[]
paracetamol,CC(=O)Nc1ccc(O)cc1,25,1.5,1.5,20,17,3,9,0.85,0.45,0.47326373856404735,9,12.73,0,[]
paracetamol,CC(=O)Nc1ccc(O)cc1,50,1.0,1.0,20,16,4,8,0.8,0.4,0.5300161806294799,8,25.94,0,[]
paracetamol,CC(=O)Nc1ccc(O)cc1,50,1.2,1.2,20,16,4,5,0.8,0.25,0.46579807661454903,5,33.89,0,[]
paracetamol,CC(=O)Nc1ccc(O)cc1,50,1.5,1.5,20,18,2,6,0.9,0.3,0.5374587485714434,6,32.14,0,[]
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,1.0,1.0,20,20,0,6,1.0,0.3,0.579552465304745,6,0.88,1,['Cn1c(=O)[nH]c2ncn(C)c2c1=O']
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,1.2,1.2,20,20,0,5,1.0,0.25,0.3799946725936803,5,0.83,1,['Cn1c(=O)[nH]c2ncn(C)c2c1=O']
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,1.5,1.5,20,20,0,5,1.0,0.25,0.45877543249005887,5,0.82,1,['Cn1c(=O)[nH]c2ncn(C)c2c1=O']
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,5,1.0,1.0,20,19,1,12,0.95,0.6,0.4673394937904545,12,3.99,2,"['CI', 'Cn1c(=O)[nH]c2ncn(C)c2c1=O']"
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,5,1.2,1.2,20,20,0,10,1.0,0.5,0.3796455143297764,10,4.1,2,"['CI', 'Cn1c(=O)[nH]c2ncn(C)c2c1=O']"
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,5,1.5,1.5,20,20,0,11,1.0,0.55,0.4266678869168079,11,3.89,2,"['CI', 'Cn1c(=O)[nH]c2ncn(C)c2c1=O']"
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,10,1.0,1.0,20,20,0,7,1.0,0.35,0.4580113725075761,7,7.62,2,"['CI', 'Cn1c(=O)[nH]c2ncn(C)c2c1=O']"
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,10,1.2,1.2,20,19,1,10,0.95,0.5,0.4011741004564124,10,7.69,2,"['CI', 'Cn1c(=O)[nH]c2ncn(C)c2c1=O']"
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,10,1.5,1.5,20,20,0,11,1.0,0.55,0.4317873265559521,11,7.62,2,"['CI', 'Cn1c(=O)[nH]c2ncn(C)c2c1=O']"
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,25,1.0,1.0,20,19,1,4,0.95,0.2,0.39106110312860176,4,18.93,1,['CI']
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,25,1.2,1.2,20,20,0,4,1.0,0.2,0.5604355535812083,4,18.9,1,['CI']
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,25,1.5,1.5,20,20,0,5,1.0,0.25,0.319533819058736,5,19.85,1,['CI']
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,50,1.0,1.0,20,20,0,5,1.0,0.25,0.37035075607112694,5,42.89,1,['CI']
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,50,1.2,1.2,20,20,0,7,1.0,0.35,0.47684620341553374,7,42.05,1,['CI']
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,50,1.5,1.5,20,20,0,5,1.0,0.25,0.48642414390884403,5,40.52,1,['CI']
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,1,1.0,1.0,20,20,0,1,1.0,0.05,,0,0.64,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,1,1.2,1.2,20,20,0,1,1.0,0.05,,0,0.63,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,1,1.5,1.5,20,20,0,1,1.0,0.05,,0,0.63,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,5,1.0,1.0,20,20,0,1,1.0,0.05,,0,3.06,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,5,1.2,1.2,20,20,0,1,1.0,0.05,,0,3.11,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,5,1.5,1.5,20,20,0,1,1.0,0.05,,0,3.09,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,10,1.0,1.0,20,20,0,1,1.0,0.05,,0,6.65,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,10,1.2,1.2,20,20,0,1,1.0,0.05,,0,6.34,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,10,1.5,1.5,20,20,0,1,1.0,0.05,,0,7.85,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,1.0,1.0,20,20,0,1,1.0,0.05,,0,16.83,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,1.2,1.2,20,20,0,1,1.0,0.05,,0,16.03,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,1.5,1.5,20,20,0,1,1.0,0.05,,0,15.74,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,50,1.0,1.0,20,20,0,1,1.0,0.05,,0,31.69,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,50,1.2,1.2,20,20,0,1,1.0,0.05,,0,30.95,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,50,1.5,1.5,20,20,0,1,1.0,0.05,,0,25.24,0,[]
benzene,c1ccccc1,1,1.0,1.0,20,20,0,4,1.0,0.2,0.31581196581196586,4,0.34,0,[]
benzene,c1ccccc1,1,1.2,1.2,20,20,0,5,1.0,0.25,0.3005982905982906,5,0.27,0,[]
benzene,c1ccccc1,1,1.5,1.5,20,20,0,4,1.0,0.2,0.31581196581196586,4,0.32,0,[]
benzene,c1ccccc1,5,1.0,1.0,20,20,0,8,1.0,0.4,0.27021397719927126,8,1.32,0,[]
benzene,c1ccccc1,5,1.2,1.2,20,20,0,6,1.0,0.3,0.20542568542568543,6,1.63,0,[]
benzene,c1ccccc1,5,1.5,1.5,20,20,0,6,1.0,0.3,0.20128427128427126,6,1.63,0,[]
benzene,c1ccccc1,10,1.0,1.0,20,18,2,11,0.9,0.55,0.2216256203689359,11,3.28,0,[]
benzene,c1ccccc1,10,1.2,1.2,20,19,1,8,0.95,0.4,0.2145337680526756,8,3.2,0,[]
benzene,c1ccccc1,10,1.5,1.5,20,20,0,4,1.0,0.2,0.13805821371610846,4,3.55,0,[]
benzene,c1ccccc1,25,1.0,1.0,20,20,0,9,1.0,0.45,0.40426089433442375,9,10.12,0,[]
benzene,c1ccccc1,25,1.2,1.2,20,20,0,6,1.0,0.3,0.3459018759018759,6,11.55,0,[]
benzene,c1ccccc1,25,1.5,1.5,20,20,0,6,1.0,0.3,0.22835497835497837,6,8.98,0,[]
benzene,c1ccccc1,50,1.0,1.0,20,19,1,14,0.95,0.7,0.18247524769391482,14,16.96,0,[]
benzene,c1ccccc1,50,1.2,1.2,20,20,0,11,1.0,0.55,0.1780463373331311,11,18.35,0,[]
benzene,c1ccccc1,50,1.5,1.5,20,20,0,7,1.0,0.35,0.23832760376878023,7,22.22,0,[]
